essay_id,essay_set,essay,rater1_domain1,rater2_domain1,domain1_score
184,1,"dear peopl read news paper @caps1 like play comput day more. hour. think take time read articl wonder newspaper. write articl @caps1 use comput hour. first reason comput issu make pay attent school. support reason dont think make play comput alot make @caps1 think comput think school. play much mess @caps1 focu school. second main reason make allway want talk computer. play mare hour like said caus addict like drug' like dont want @caps1 addict drug hope woudnt want @caps1 addict computer. continu @caps1 allway @caps2 comput make @caps1 sound like life play day everday would hope woudnt want @caps1 like this. importantli final reason shoudnt let child play comput hour day. get weight. @caps1 well get go bathroom, eat, stuff house. @caps1 go side play wont get exers all. hope understand come brother offer hospit right comput much mess doctor said make pray well make aliv hope woudnt let @caps1 mess life forever. thank much takeng @caps4 time read articl hope would rememb articl whole ontir life.",4,4,8
185,1,"dear, @caps1 @caps2 mani peopl use comput advanc technolog have. lot peopl life comput lot benefit come computers. everyon agre @caps2 mani peopl donâ€™t like peopl use comput much take away less time enjoy nature, exerising, interest famili friends. think peopl comput talk peopl cant see, look inform give peopl someth do. one effect comput peopl allow talk peopl realli dont see. say beacaus friend go school dont see much. might email, myspace, facebook. surf cant online. make easier talk instad drive see them. think @caps2 activ activities, need second effect comput peopl allow look information. think project dont alway enough inform it. comput give lot find information. think comput help way endless site inform better. also might time go trip know much cost long go take set destination. well look upon comput see also els find inform call question consist go website. third effect comput peopl give someth do. say time someth do. sometim bore someth go computer. thing like play games. also watch video youtube. exampl funni keep laughin add comput watch videos. anoth thing download music ever line think busi now. see @month1 thing go computer. conclud think comput lot effect people. comput peopl spend time them. disagre mani good effect comput people. hope agre me. three effect comput peopl allow look information, give someth do.",4,4,8
186,1,"dear, newspap write persuad put articl paper comput bad benefit people. comput make unhealthy, bulli take place computer, effect school. first, comput bad effect peopl make unhealthy. say peopl get enough exercise. get obes enoughb exercise. eventu @month1 @month1 get diabet obese, time do. next reason lcomput bad effect kid get bulli internet. import kid get bulli feel bad themselves. get depressed. call cyber bullying. one exampl is, guy came school talk son. son kill bulli intern school. bulli import issu comput bad effect people. third final reason comput bad effect peopl kid bad school. bad school spend much time comput stop homework stop prepar test quizzes. also kid get distract school think care go home go computer. kid also bad school eventu think school wast time drop out. proven fact @percent1 kid drop school kid alway comput said school wast time. that comput effect school. remember, comput bad effect peopl make peopl unhealthy. peopl get bullied, effect schoolwork. comput bad effect people.",4,4,8
187,1,"dear,newspap think peopl comput think kid play game help learn like math game read grown up go websit watch work video could pay bill comput dont store kid need homework comput good buy thet also bad stuff like kid say homework youtub myspac facebook. stuff comput good stuff bad thing that? think computers.",3,2,5
188,1,"dear local newspaper, peopl say comput neg affect famili friend other say comput import aspect society. would agre second group people. comput help student research inform @month1 need school. peopl talk friend thing like facebook @caps1 write rough draft comput save go back make final chang draft final. elabor follow three paragraphs. comput quick easi way look inform school project paper. understand peopl think comput take away famili time would book. book would probabl take time @month1 get less information. exampl book could multipl peopl read entir thing get two sentenc information. anoth reason comput reasearch quicker go one page get inform gotten inform page still need click anoth link. peopl comput would go librari spend time look them. worth use time. peopl talk friend facebook @caps1. peopl say comput distract friend realli help talk friend more. vacat tire see talk famili non stop week miss friends. id turn comput intent link them. chat room also help meet peopl age next town enywher country. @month1 even becam new best friend. write paper want write go back write @num1 times? there much simpler way call computer. write first draft inordr get final copi reread make chang nessecary. comput also help kid spell better. hit button.",5,4,9
189,1,"dear newspaper, @caps1 turn technology. go change. tri schedule. encourag help lot people. activ keep mind thing read find more. schedul important. limit time computer. everi half hour least @num1 minut outsid friends. tri memor schedule. encourag help alot people! tri encourag famili friends, gover also tri fight this. encourag helps. activ keep peopl computer. tri neighborhood activities. after-school activ while. kind stuff fun. think schedul helps? like encouragement? activ keep mind things? far stuff helps.",3,3,6
190,1,"dear @caps1, @caps2 imagin world technolog control human interaction? far fetch idea. peopl @month1 see great advancement. me. think comput detach peopl reality, creat fals personas, physic benefit. think comput effect people. first all, comput detach peopl reality. lot easier someon sit computer, brows aimlessli social network website, go actual meet new people. sure @caps2 send friend request want, there noth compar first impress get meet someon person. comput also affect famili member time spent them. secondly, comput creat fals personas. facebook @caps3 account, would easi say someth fals myself, someon else. comput dosn't know better. allow peopl gain, ""friendships"" other dont know real you. find real problem eventu lead shaki unsteadi relationshops. lastly, think comput offer physic gain, nation sever heath crisis. thing easier get day like fast food, drugs, think comput help. peopl need disciplin there time place everything, includ computers. howev disciplin might use need good. @caps2 imagin world control computers? think littl little, that what happening, slowli take away human element. think effect severe, detach reality, creat fals personas, offer physic gain. think right, hope i'v persuad think way.",5,5,10
191,1,"dear @caps1, understand concern computers. think concern though. concern comput posotive. teach us hand-ey coordination, help teach faraway place people, final talk onlin familli friends. first, comput teach hand-ey coordination. thousand fun game onlin help improv reflex eyesight. help heal improv peopl reflex make eye keen. anoth thing amaz comput learn far away place people. help want travel somewher far away can't, go comput look up. feal like realli there. also help studi peopl live far away get meat person. final go comput go onlin talk famili friends. type websit go talk hang friend family. comput help keep famili friend togeth happy. conclus think comput great, fun, help invention. rememb good characterist comput pleas take comput away; need them.",4,4,8
192,1,"@month1 time use comput one day? lot right? think comput definatli benefit society. internet help lot people, conveni comput give people. comput also let peopl talk onlin people. comput help peopl internet. internet make alot peopl live easier. one way school. know experi internet helps. dont enough materi study, internet help. anoth reason internet help jobs. know @percent1 peopl age @num1 job internet? internet also help peopl find jobs. last reason internet help shopping, rememb time need special book school book store bookstore, mum order fine, internet helpul mani people. comput benefici societi peopl abil faraway places. mani peopl cannot offerd go lot place outsid unit state., computers, peopl team place places. sometim even snow experi there. anoth reason use want learn more. once, famili got wed @location1, know much @location1. @caps1 went onlin find thing like. food eaten weather like. lastli peopl learn famili corner form. peopl know place ancestor came from, look crime computers. confind recip food, relign practice, holiday celebrate. obuous comput help peopl faraway places. last reason comput benefici societi allow peopl talk people. sometimes, good friend want togeth loss touch one friend, peopl find onlin take. know mani site tell peopl went highschool are? also, site like facebook peopl connect. anoth reason that, peopl meet peopl online. mani date site as, connect peopl lose internet. know @percent2 peopl dating, site set ? sometim peopl cannot call long distance. abl chat online site like google, chat helpul. without dubt, comput helpful. think comput help @caps1 many, peopl society. peopl use internet help them. peopl learn place peopl ccan chat online. -@caps1, dont think bodi computers, impac societi greatly!",6,5,11
193,1,"dear @person1 weekly, new millenium brought new wave technology. comput main invent like everyon uses. comput teach us great thing learn vacat spot far country. comput allow us talk friend famili away even home. also, type comput teach us hand eye coordin help us things. comput sure great invention. ever want go vacat somewher overseas? well comput great sourc learn places. effect could significant. one day one might want go bahamas, find new locat @location1 even @location3. addit comput benefit student well. student usual project place world comput main sourc intelligence. essay alway use comput first. recent grandmoth move @location2 talk phone. although comput actual see screen. webcam allow see grandma. comput allow keep touch friend famili see regular bases. exampl @caps1 twitter keep touch friend high school. comput also send email friend famili say hello everi while. sport requir great deal hand eye coordination. comput make better this. look screen typing, give boost hand-ey coordin two thing once. sport requir lot @caps2. ball air must focu hold stick correct position. although hand-ey coordin mainli taught power computer. conclude, would like say comput great sourc intellegence. also allow keep touch high school friend far away family. finally, comput teach hand-ey coordination. comput import piec technology.",4,4,8
194,1,"dear @caps1, @caps2 want societi becaom one obese, lazi appreci famili friends? @caps2 want peopl lock respect nature? result excess comput usag societi becom lazy, depend upon robot slave loose, brain washed. peopl care famili friends. importantly, societi appreciacion respect mother nature. way wish world be? ever read @caps3 @num1? book, govern use technolog brainwash peopl manipul them. society, like one book, becom depend comput technology, collaps insid go respect world power, third world countri in. need redesign build door big enough bodi fit through. respect nation anymore. chariti countri send money build gym pools, nobodi use they. recent research @organization1 say @percent1 peopl spend hour half comput everi day @num2 pounds. peopl rememb talk. babi learn type instead talk walking. good country? peopl say best thing could ever support famili group good friends. accord @person1, well known psychologist, ""peopl friend @percent2 reduc risk depression."" friend actual affect health. peopl use comput much lose friend becam separ families. mental health effect horrible, peopl sadli miss posit part life. import peopl happy, onlr commun e-mail social network sites, social enbough. one thing chat online, better abl see someon face face pictur screen. nobodi want end like this, limit oyur comput usage. much comput usag come lack respect nature, peopl use care natur mani reasons, biggest affect us everyday, everyth @caps2 own. everyth base nature, even ourselves. weather outsid even beauti @date1 day, deadli pay attent go outsid safe house. depend natur respect her, kill us. anyth good moderation, even computer. limit ourselves, bad consequences. longer respect society. famili friend dissapear, caus health problems. worst all, lose expect respect mother nature. time start limit comput usag now, mani great problems.",5,5,10
195,1,"dear, @organization1, @caps1 idea ""computers"" well thought outsid box.well. sure need comput look inform days. need dident exist before? reseach show @percent1 @caps2 say comput everything. let explain littl bit mean. first, look places, chat friend family. @caps1 oppinion use local internet would good know tri mean. littl world neve get bed least @num1 pm, never forget natur outsid fresh air. conclusion, internet day good people.",2,3,5
196,1,"think use comput good thing present day @location2. think peopl use research, stay touch friend family, music. thing adult kid need like do. read explain important. first reason think comput good thing good sourc research specif topic. kid @location1 use internet class projects. adult use comput look certain food resipe. need help someth comput allway there. peopl even use comput job. comput help lot things. anoth reason comput big help stay touch friend family. great thing use comput web cam. see talk peopl lillt camray even far away. also go myspac face book. thear two websit use post pictur talk chosen friend. good way peopl get know you. similar thing instant messaging. use talk friend mani line. stop read thing! last reason comput sutch great thing mutch music computer. use comput listen music, put music ipod @num1 player. peopl use comput make music. get progrem make heat put togeth make kind song. music great thing age group love. think have comput posit thing. researching, say touch friend family, lot music. mutch theas @num2 thing comput good for. think world would without computers.",4,4,8
197,1,"dear newspaper, know comput place person spell, realiti one necesari thing need lifetime. comput use mani thing like school work, plan trip alway want go to, read latest news. read follow know import comput realli are. know project due scienc class protoplasms. want at. realiz one book find wont help score want realiz nextplac look computer. comput give unlimit amount inform help report. teacher give book biographi on, example, ""the life times: @person1"" want go beyond give search, instances, neighborhood, inspiration, influenc had. find computer. see sale ""five night four days"" trip @organization1, want know better sale have. start notic famili need vacat place look. can'@caps3 look trip lifetim book. sure find @caps1 big blowout sale, cant search best deal. i'v done research seven friend six seven parent deal trip @organization1 accounts. great fan road trip find deal @caps2' lowest find computer. live @location3, @location4 want trip @location1 deal realli good. live @location2 know hottest day @date1 come readi get beach ball blanket ready, think comput wast time wont know beach open send free drink day. home eat @caps3.v. watch old rerun @caps4 @caps5. tell news erea, tell devast earthquak @location5. also inform peopl help help. comput good go @caps6 @caps7, help get grade a+ histori report. also work well give children memori alway remember. also help get readi stock hous nice day @date1. mayb find great deal help kid get better grade realiz good comput is.",5,5,10
198,1,"dear local newspap @caps1, @caps2 show @percent1 human @location2 alon spend time comput laptop. believ effect comput neg effect human creat peopl lack exercis limit physic interact others. nation, lower statist creat better environ altogether. amount peopl lack suffici quantiti exercis risen past decade. doctor @person1, expert connect health computers, survey @num1 people. people, @percent2 said rare go outsid theu trap cyber world. shock percent prove one twenti peopl actual get tyoe exercise. @person2 stated, ""thi shock @caps2 mean -if all- peopl unhealthi physically, problem must solved."" @caps3 goe say comput day exercis contribut ti unhealthiness. addit lack exercise, mani human lose physic interact have. human become, modern technology, human lose physic interact world normal encount computer. @person3 agre statement said, "" colleg greaduate; degre all, alway like this. younger, own computer. soon got home school, would alway go computer. talk anyone-not even family! could go back chang that, would."" statement prove lack physic interact human crucial subject touch on. @person3 regret chang way @caps3 got high school. one want live regrets, physic human interact necessari live non-regret life. lack human interact lack exercis problem need solv soon possible. conclusion, use comput start grow epidemin @location1. import reason comput aneg effect human limit amount exercise, almost destroy physic interact humans. thank attention, remeb one thing: comput alway neg effect mani human lives.",5,5,10
199,1,"@organization1, @caps1, click, clack sound @organization2 comput key hit right now. comput everywher days, even poorest place like @location3. @location2. dreadful, humble, time conserv comput take away mean enjoy @organization2 life offer us. comput sours @caps5 infromation, time @caps5 liesur days, foget life away well famili time, take walk beautiful, nature. much use @organization2 comput lead awe health. comput caus mani fatal problem see vision problems, obisity, due fact sit day @caps2't work out. comput like mind, bodi eater slowli take away let cry, weap @caps5 rest @organization2 life, @caps2't agree? know @organization2 say second biggest lead caus @organization2 obis computer? ye true! experinc problem. grow up. @num1 adicti computer. day night eye gule comput screen. noth mind except @caps5 computer, mom got mad yell get away it, didn't. slowly, slowli start put heavy, aw faton myself, later found weight @caps5 age. day lost weight put use computer, sure other to. obes happen eat much. also happen cardio activities, comput stp us doing. basic comput unhealth. said @percent1 @organization2 peopl state @organization2 @location1. time consum computers, take away famili time mani famili days. know @percent2 @organization2 famili get spend time wish, reason computers? kid comput play games, mom find resip onlin make @caps5 dinner, dad buy anoth stock online. ye happen lot, insd @organization2 thing could someth else, comput work important. famili use spend lot @organization2 time together, @organization2 comput never get anyth famili now. know time health @organization2 @organization2 say kid spend time famili bound becom better parent @caps2't spend time family. bet realli good famili man/women spend time pleas take comput away make famili come togeth again. @location1 beauti natur ever, birds, animals, @date1 time fall time. anyon ever want see natur come @location1, sad thing peopl @organization2 @location1 appriat natur busi thing computers. know one time went comp out, readi @caps5 natur boy bring computer, know whole got peopl forgot natur play boy computer. mani peopl miss natur beauti anim seen one yellow @caps3 time amaz unfortunet mani peopl miss event. peopl day apric nature, one day regret, @organization2 fact one day @month1 around enjoy got given @caps2't let comput tell let boss @caps5 ourself. never decis hand, make right decis say computers. go enjoy nature, spend time family, get healthy. smart, well educ people. (i know are) tell world get told comput @organization2 can, cant do, boss control. ye comput fun, giving, bad. say comput @caps2't regret it.",5,6,11
200,1,"dear reader @location1 @caps1 borught attent dilema effect comput people. well believ comput around good because. comput help student school work better. also give abil learn far away places. lastly, comput allow peopl talk oth peopl onlin webcam. first reason believ comput good around is. help student school work. sometim teacher give assign write essay. @caps2 student @caps1 comput might get higher grade @caps1 look neater proffestional. comput especi help colleg students. colleg univers took poll one time. @percent1 student know @caps2 comput laptop. one student even said ""@caps2 laptop would probabl fail classes."" comput help @caps1 come student school work. second reason believ comput good around is. give abil learn far away place coutries. took poll one time mani peopl use comput find what go countries, @percent2 said go comput find what' go anoth countries. comput handi want know what go countries. last reason comput good around is. say marri pregnant unless guy course, spous @location2 them. well comput day webcams. @caps2 realli need talk use webcam. reader @location1 @organization1. see believ comput around good. @caps1 help student school work. @caps1 give abil learn far away place countries. @caps1 also give chang talk peopl webcams.",4,4,8
201,1,"comput modern technolog advanc quickly, peopl begin use them. peopl say comput bad influenc @location1. think wise. think comput amaz breakthrough modern science. believ comput ideal school work comun others, long use moderation. comput make school project simpl know could without. social studi teacher @person1 say @percent1 project involv someth computer. internet great place research big paper projects. thirty-million educ inform websites, easi locat need quickli easily. finish research easi type report. written report, mani program fanci presentations. take microsoft @caps1 example: make exot background texts, well uniqu anim emphas make pop right page. comput also ideal way commun friend family. email quick easi tell other want say. want chat, use @caps2 instant messaging. allow type sent email faster. program iniv way talk famili member home. like let say dad goe busi @location2. email back forth everi day. @organization1 (a video chat) see person actual talk like they'r back home. comput advantag also disadvantages. comput great commun school work, use excess unhealthy. one example: older brother @person2 senior high school. school @num1 @num2:pm get home head straight computer. least five hour night leav time dinner much anyth els includ sleep. think comput great invat modern technolog long peopl limit themselves. comput come new featur everyday know theyll like...",4,5,9
202,1,"complet agre peopl think comput neg effect us today. even though comput great mani neg effect peopl use them. since. new technology, post pictur websit everyon see. also game comput peopl get hook on. lastly, predat online. new technolog amazing, like webcam video chat cellphon could take pictures, @caps1 neg effects. mani suicid cyber bullying. peopl bulli kid internet. also peopl send nake pictur onlin even webcamming. illeg absurd young even older peopl would actions. also websit peopl post pictur person make huge differ life. mani peopl game comput download game websites. peopl actual get addict game, would play day could arent play wish could. make miss alot things. might get enough excersis homework make grade drop. could also spend time family. also might chang person. import thing use comput safety. predat internet pretend someon school ask live. never tell anyon live full name online. like come hous you. could like cost even famili member lives. comput fun learn abund amount inform long smart use it. rememb tell anyon live dont take pictur send personal. could internet next day. lastly, worri family, grades, health useless game. smart safe!",4,4,8
203,1,"dear newspaper, think peopl need computers. help see world can't. use send import messag peopl farther away you. also someon parent love one far away see computer. exampl three things. peopl can't physic mental can't afford travel. sad peopl sick diseas ill can't go places. go internet look pictur inform place they'v never help see world better. peopl help see world better. peopl fear prevent travel differ places. thet could go internet find way help get fears. turn allow get fear let travel places. peopl can't afford it. internet help find good job pay good money use afford travel world see is. need send realli import messag someon prevent someth help live even stop war. take reconsider war go miss understanding. govern figur happen know straightin situat could send messag attackers. happen thought would stop fight war would over. bomb white hous would want get build find disarm it. guy find send messag white hous would save peopl white hous lives. sometim love one go away far away can't talk see them. someon militari he/sh kid comput allow see talk webcam would keep child parent togeth seper them. also see friend facebook seen year friend guy get back touch friend again. conclus comput mani help things. fix relationships, save lives, help get fear see world. bad sure sometim go board useful. horribl sometim bad also sometim good",5,5,10
204,1,"want opinion effect comput people? well, believ comput help peopl educ peopl comput peopl reli on. time decid agre comput posit effect people. agre comput help people? say exampl question noon home answer. @organization2 it? cours go get school project. sure need information, librari closed. @caps3 do. simple, reasearch computer. agre comput help people? rememb one time enter @caps1 contest, @caps2 need lost, rememb put computer. comput reli people. think it! almost @percent1 job world reli technolog computer. exampl @organization1 job. would kind hard keep track much trash thrown everi year without computer, sure bank use comput too! keep track everyone' allow money situations. let' forget lawyer do? lawyer incart use comput type everi word said. turn word short keep peopl saying. @caps3 without comput ever half million job world would fail? peopl would agre onlin game educational. example, @caps4. game teach word probabl never seen before. forget @caps5. game improv count numbers. last, least would @caps6 @caps7. game sharpen skill exercis brain. strategi come handy, sure see game educational. conclusion, agre effect comput peopl positive. comput help people, reliable, educ people. never agre comput posit effect people?",5,5,10
205,1,"dear local newspaper, @caps1, name @person1. i'v inform peopl view comput effect them. opinion, find comput neg influenc yound kids, teens, adults. mani harm awar come along one. one thing, peopl hypnot electron devic find lesser time excercis take care themselves. also to, natur they'r experienc pictur onlin enjoy full beuti left earth. anoth neg outcom start becom distant love ones. happen society? can't think anymore? truely, strongli hope i'm say chang mind people. thank much. exercis key aspect anyone' life. especi grow kid teens. comput exercis benefit getting? stronger fingers? higher chanc syndrom @caps10. ""@caps2 @percent1 kid @caps7 problem like obes access internet"", accod @person2 the, ""@caps3 feel right @caps4 @caps5 @caps6"" hunington beach, @location1. basically, give youself computers, @month1 thought stay fir. instead chip typing. @caps4 @caps7 benefit @caps8 game help? global warm ourside, saw yesterday @month1 today. breath fresh, natur air realli calm stress child out. ever happen play endless scoth side walk chalk fresh? tag run around? cool anymore? yah, cool take care yourself. inspir write poem feel draw screnary. days, instead @caps10 clime tree, climb mous arrow next website. there' much take granted, one day look back ti all, your go realli miss @date1 days. famili time critic anyone' life. without family, nothing. game night famili time disapear? we'r societi say comput complet normal everyday thing house, mean famili friend main prioriti anymore. want hangout friend' house, dont email it, walk @caps2 get full affect sinc comput family? never. got fake reality, @caps10 neg life. @caps10 regain true life back them. @caps10 think clearer @caps10. what make comput better life? noth ask that. inconclusive, strongli believ live we'v actual get dumber. there' neg posit computer. sure could quickli send messag like @caps9, ever bad good old fashion calling? sendin letter? say again, thank take time read this. @caps10 chang you, @caps10 not. whatev do, think next time onlin see happends.",5,5,10
206,1,"dear local newspaper, agre comput impact human societi greatly. therefore, opinion @month1 one greatest inventions. would say differ help program websit @month1 help peopl everyday life. especi student abil studi educ webpages. also, peopl abl commun online. lastly, abl type stori instead hand-writ them. advantag studi onlin great. differ websit ton inform true fact @month1 realli affect grade students. know @percent1 @location1 go educ websit inform writing, whether essay non-fict story? thank computers, great chanc student @month1 receiv pass grade. commun onlin made huge impact worldwide. whether use facebook, @caps1, @organization1 etc., commun famili friend fantastic. example, use facebook love talk famili @location2, see everi coupl years. onlin commun affect peopl easier way talk instantly. push button, immedi commun someone. finally, peopl abil type program want type letter story. instance, use microsoft word, type whatev want. effect peopl faster an easier way write. therefore, finish earlier would type it, would extra leisur time, time get rest work done. also, easi type like wind; practice, course. conclusion, invent comput help still help societi mani ways. but, three way chosen tell letter, feel, impact us most. hope help question comput effect people. thank take time read letter. good day.",5,5,10
207,1,"dear local newspaper, @caps1 comput harm way. help peopl learn thing know. also let peopl interact peopl around world. anoth let peopl stay touch famili friend around globe. comput harm, help. comput learn tool. school like mine hundr comput use education. anyway even tri go differ site get redirect block website. car machin built comput suppli blueprints. one thing comput mostli use for, that learn. think go vacat somewher know thing work around there? well comput help promblems. let see peopl place look like virtual tour. even assist know tradit beliefs. comput great way explore. comput great way commun others. famili member live othersid world use comput talk see doing. old friend move away. still talk commun other. get touch friend famili bad it? reason show comput harm anyway. give peopl good education. let peopl learn cultur place around world. talk friend someth that good, bad. comput harm people, help.",4,4,8
208,1,"dear newspap editor, recent heard peopl think comput neg effect people. well think comput posit effect people. think comput posit effect peopl help make learn countri easier. also, help peopl talk peopl differ countries. anoth reason help peopl learn differ cultures, religions, traditions. reason peop think comput neg effect peopl peopl spend time comput spend time family. also, peopl use comput use exercis machines, bicycles, scooters. know posit neg effect computers, side choose? one comput one computers. would choos one computers.",3,3,6
209,1,"dear local newspap editor, @caps1 opinion effect comput peopl stay comput bad rot brain like video games. good reason comput good help you. sometim comput help hand-ey coordination. use comput homework search store etc. comput realli slow new one @date1, comput also help read better littl . could play talk peopl like friends. listen music easi thing could websit song like listen yo mani peopl use comput find job use look way eat right work pay bill onlin easyer pay real. comput easi way pay agre @caps1 opinion.",3,3,6
210,1,"dear newspaper, question whether peopl spend much time comput not. opinion peopl arenâ€™t, mani benefit computer. type comput teacher hand-ey coordination. easi learn comput too, commun peopl also! handey coordin important. use everyday sport take notes, even play video games! comput good develop hand-ey coordination. whatev comput typing, play onlin game, surf web develop hand-ey coordination. good learn hand-ey coordin teacher day neat children type print papers, neater.if kid learn hand-ey coordination, type faster turn go comput hand-ey coordination. world cultur teacher let us use onlin textbook dont finish homework class, instead log around textbook. student would rather go onlin bring giant textbook school. ever thought much easier colleg cours online. go colleg especi work parents? everyth happen onlin portabl laptop, instead go college. use comput learn differ place easy. websit full pictur beauti foreign place hot deserts, troppic rainfal monkey tigers. fun easi learn computer. sinc cell phone becom lot peopl gotten rid thier home phone save money. sometimes, though cellphon lose signal. good computer. eat talk peopl forums, chat websit email. intelligent,and easi free! east commun use computer. sure heard reason okay peopl spend time comput see point. ye peopl shall spend time outsid family, small comput good you. easi learn hand coordin commun computer.",4,5,9
211,1,"everyon think comput good good resorc find information. good compol @num1 seven sometim bad. person comput day noth els except that, healthi all. peopl limit time much stay computer. dont due it! comput also good inform said earlier. comput laptop need find inform someth internet there. kid need homework project need look fact inform someth could go comput that. much easier look book fact need. comput good quliti resources. arnt bad unhealthi unless life thing do. opinion computers.",3,3,6
212,1,"think peopl spend lot time comput enjoy natur things. reason peopl anyth except surf web, talk peopl time, site around eat junk exercise. three reasons. first reason peopl surf web. million websit go to. peopl go look thing buy something. thing homework buisness. also peopl play mani video game comput too. second reason peopl go @caps1 @caps2 use web cams. peopl could hour talk people. sometim thing peopl life do. know someon @caps1 school talk people. friend @caps1 friend real life. third reason peopl go eat junk food get exercise. sometim eat potato chip cooki soda. week tire sleepy. also get fat. bodi unhealthi shape. read reasons, hope like them. reason peopl anyth surf web, talk peopl time, peopl eat junk food get exercise.",3,4,7
213,1,"dear local newspaper, want say agre peopl spend lot time computer. reason peopl need exersize, go doors. fun. keep read understand need thei things. first reason exersizeing. reason say exers need comput day long. mani thing do, run, jog, go bike rides. mean ok go comput learn that' books, school learn things. second reason go out-sid reason peopl need get fresh air lock insid day. anoth one explor go hike see good time. reason nature. mean go zoo learn stuff to. anoth thing much comput day long. last reason talk friend stuff, go mall day, also hang friend sleep watch movies. need stay comput day need fun. say need computer. stuff still learn with-out computer. mabi ins talk onlin actultli go friend hous talk. thank time. hope talk soon.",4,4,8
214,1,"dear @organization1, @caps1 home computer. hour mayb even day sinc takin breath fresh air outside. @month1 sound cpzy, yet realiti <@percent1@num1> popul @location1. loo around movies, chain resur home, offic even schoold; comput everywhere. know use comput amni expert concern peopl spend much time comput less time exercis enjoy nature, interact famili friends, say peopel everi shold allow use comput rain everday, say @caps2 computers. point comput day wast vertual game downloads. starter, peopl spend much time comput less time exercising. past two year obes becom major issu @location1 @percent1 popul obes causesan ectreamli higher risk get diseas sick like diabeaties, heart failur even depression. recent cousin pass away canser caus fat obeseity. point can't sit noth get get move away comput addit peopl get comput start enjoy nature. total <@percent1@num2> person @location1 spend enough time side. global warn kill environ peopl would care enouhg psend littl girl time outside. didi know environ disapp day? went good friend expert thing envieronment instat clean world cow.",4,4,8
215,1,"dear @organization2, express concern side effect new technologies, comput humans. comput impact human harm manner peopl spend much @organization1 qualiti time comput addit lead less time spent exercise. peopl also get spend much day outdoor interact friend family. firstly, peopl spend much @organization1 time surf net. studi show averag @caps1 spend total @num1 hour day computer, almost doubl spend it. dr. @dr1 @caps1 technolog society, says' increas @organization1 time spent internet, continu years, @caps3 completli lose contact famili friend outsid @organization1 social comput network. averag weight @organization1 @num2 year old increas @num3 pound @date1, @num4 pound today. statist show main cau dramat increas weight due acess amount @organization1 time spent comput addit @caps4 much time exercise. teenag need exercis three time week thirti minut each. @caps5 averag adolesc spend ten minut week exercis includ gym. @organization1 number must chang way start would lose comput peopl spend much time less time exercising. secondly, comut effect peopl get go outsid enjoy nature. form person experi natur beauti thing apart @organization1 @caps5 aday spend way much time social network facebook, space @caps6 others. often go outsid take walk, fo bike ride someth else? studi done @person2 show averag person live @location1 spent total @organization1 @num5 day outsid past two year reciv new computer. must chang peopl need enjoy world offer. thirdly, comput effect interact famili friends. ""@caps6 peopl hav interact famili mandatori time school meetings."" say @organization1. famili friend major import everyon lives. love sit talk mom steam cup @organization1 hot chocolate. @percent1 @organization1 peopl day spend anytim famili @percent2 @organization1 peopl use comput interact friends. vital import peopl stop use comput ""befor know lost commun famili friends"" say @person1 i.u.m comput help peopl lose commun interact fmili friends. conclusion, urg make right desion quit use comput return much happier stronger individual. comput impact human terribl way peopl spend much time lead lack exercise, time spent outsid addit interact friend family. sorri lack @organization1 organ toward end, ran @organization1 space. pleas excus mess. thank you.",5,5,10
216,1,"dear @caps1 @caps2, i'm write today see advanc technolog posit effect people. reason wrint comput allow peopl talk onlin other peopl learn faraway places, final teacher hand-ey coordination. read letter hope fell way. first comput allow talk peopl online. reason feel way can't fond fone hose even cell phone, could see online. also thing texting, bigger keyboard/screen relat text someon went onlin find whtm too, sent aim instead. hope see comput good people. secondli lot peopl go librari look inform paper school. reason feel way comput googl make find thing easier. anoth reason go librari @month1 caus send money fill ga tanks. relat everytim famili goe librari fill car go. anoth reason comput good. final comput teach hand-ey coordination. reason write email know key finger touch. anoth reason comput hand-ey coordin kid take karayta might learn move hand fast somewhere. relat ti first grade guy told friend need us get truck help find lost puppy, tri grab pull hard away becam pinned. hope see need computers. would like sit read essay. reason write peopl talk peopl online, learn faraway places, final hand-ey coordination. hpoe rethink comput school.",4,4,8
